0	0	0
7	3	120
26	9	244
57	21	367
90	39	491
123	60	614
156	81	737
188	103	861
221	124	984
11	124	2
18	125	121
37	128	244
65	132	367
96	139	491
127	148	614
159	159	737
191	171	861
224	185	984
40	250	6
47	250	123
62	252	245
84	254	368
110	258	491
138	262	614
168	268	738
199	275	861
230	283	984
79	376	13
84	376	126
94	377	246
111	378	369
132	381	492
156	384	615
183	387	738
212	392	861
241	397	985
119	502	24
122	502	130
130	503	249
142	504	370
159	505	493
180	507	616
204	510	739
229	513	862
257	517	985
158	628	39
161	628	136
167	628	252
177	629	372
190	630	494
208	632	617
228	634	739
251	636	862
276	639	986
198	754	57
200	754	144
204	754	256
213	755	375
224	756	496
239	757	618
257	758	740
277	760	863
299	763	986
238	880	74
239	880	152
243	880	260
250	881	378
259	881	498
272	882	620
287	884	742
305	885	864
325	887	987
277	1006	92
278	1006	162
282	1006	266
287	1006	381
295	1007	500
306	1008	621
320	1009	743
336	1010	866
354	1012	988
125	2	0
128	4	120
135	11	244
147	23	367
164	41	491
184	61	614
207	83	737
232	104	861
259	125	984
129	125	2
132	126	121
139	129	244
151	133	367
167	140	491
187	149	614
210	159	737
235	171	861
261	185	984
140	250	6
143	251	123
149	252	245
160	254	368
176	258	491
195	262	614
216	268	738
241	275	861
267	284	984
158	376	13
160	376	126
166	377	246
176	379	369
190	381	492
208	384	615
228	387	738
251	392	861
276	398	985
181	502	24
183	502	130
189	503	249
197	504	370
210	505	493
226	507	616
244	510	739
266	513	862
289	517	985
209	628	39
211	628	136
215	628	252
223	629	372
234	630	494
248	632	617
265	634	739
285	636	862
306	639	986
240	754	57
241	754	144
245	754	256
252	755	375
261	756	496
274	757	618
289	759	740
307	761	863
327	763	986
273	880	74
274	880	152
277	880	260
283	881	378
291	881	498
303	882	619
316	884	742
332	885	864
351	887	987
307	1006	92
308	1006	162
311	1006	266
316	1006	381
324	1007	500
333	1008	621
346	1009	743
360	1010	866
377	1012	988
251	7	0
252	9	120
256	16	244
262	28	367
271	45	491
283	65	614
298	86	737
315	106	861
335	127	984
253	127	1
254	128	121
258	131	244
264	135	367
273	142	491
285	150	614
300	161	737
317	173	861
336	186	984
259	251	5
260	252	123
263	253	245
270	255	368
278	259	491
290	263	614
304	269	738
321	276	861
340	284	984
268	377	13
269	377	126
273	378	246
279	379	369
287	381	492
299	384	615
312	388	738
329	393	861
347	398	985
282	502	24
283	503	130
286	503	249
292	504	370
300	506	493
311	508	616
324	510	739
340	514	862
357	518	985
300	628	39
301	628	136
304	629	252
309	630	372
316	631	494
327	632	617
339	634	739
354	637	862
371	640	986
321	754	57
322	754	143
324	755	255
329	755	375
336	756	496
346	757	618
358	759	740
372	761	863
388	763	986
345	880	74
346	880	152
348	880	260
353	881	378
359	882	498
368	883	619
379	884	742
392	885	864
407	887	987
372	1006	92
373	1006	162
375	1006	266
379	1007	381
385	1007	500
393	1008	621
403	1009	743
415	1010	866
429	1012	988
378	17	0
378	18	120
380	25	244
384	37	367
390	53	491
398	71	614
408	91	737
420	110	861
434	131	984
378	130	1
379	131	121
382	134	244
386	138	367
391	145	491
399	153	614
409	164	737
421	176	861
435	189	984
382	253	5
383	254	123
385	255	245
389	257	368
395	260	491
403	265	614
412	271	738
424	278	861
438	286	984
388	378	12
389	378	126
391	379	246
395	380	369
401	382	492
408	385	615
418	389	738
430	394	861
443	399	985
397	503	23
398	503	130
400	504	249
404	505	370
409	506	493
417	509	616
426	511	739
437	514	862
451	518	985
409	629	39
410	629	136
412	629	252
415	630	372
421	631	494
428	633	617
437	635	739
448	637	862
461	640	986
424	755	56
425	755	143
426	755	255
430	756	374
435	756	496
442	758	618
451	759	740
461	761	863
474	764	986
441	880	74
442	880	152
444	881	260
447	881	377
452	882	498
459	883	619
467	884	742
477	886	864
489	888	987
462	1006	92
462	1006	162
464	1006	266
467	1007	381
472	1007	500
478	1008	621
486	1009	743
496	1011	866
507	1012	988
504	30	0
504	31	120
506	38	244
508	49	367
513	63	491
518	80	614
525	98	737
534	116	861
545	136	984
504	136	0
505	137	121
507	139	244
509	143	367
514	150	491
519	158	614
526	168	737
535	179	861
546	192	984
507	256	5
507	256	122
509	257	245
512	260	368
516	263	491
522	267	614
529	273	738
537	280	861
548	288	984
511	379	12
512	380	125
513	381	246
516	382	369
520	384	492
526	387	615
533	391	738
541	395	861
552	401	985
518	504	23
518	505	130
520	505	248
522	506	370
526	508	493
532	510	616
539	512	739
547	516	862
557	519	985
526	630	38
527	630	136
528	630	251
531	631	372
535	632	494
540	634	617
547	636	739
555	638	862
565	641	986
537	755	56
538	755	143
539	756	255
542	756	374
546	757	496
551	758	618
557	760	740
566	762	863
575	764	986
550	881	74
551	881	152
552	881	260
555	882	377
558	882	498
564	883	619
570	885	742
578	886	864
587	888	987
566	1007	91
566	1007	161
568	1007	266
570	1007	381
574	1008	500
579	1009	621
585	1010	743
593	1011	866
602	1013	988
632	49	0
630	49	120
631	55	243
633	64	367
637	76	490
641	90	614
646	107	737
653	124	861
661	142	984
630	142	0
631	143	120
632	146	244
634	150	367
637	156	491
642	164	614
647	173	737
654	184	861
662	197	984
632	259	4
633	260	122
634	261	245
636	263	368
639	266	491
643	271	614
649	276	738
656	283	861
664	291	984
636	382	11
636	382	125
637	383	246
639	384	369
642	386	492
647	389	615
652	393	738
659	397	861
667	403	985
640	506	22
641	506	130
642	507	248
644	508	370
647	509	493
651	511	615
657	514	739
663	517	862
671	521	985
647	631	37
647	631	136
649	631	251
651	632	372
654	633	494
658	635	616
663	637	739
670	639	862
678	642	986
655	756	55
656	756	143
657	757	255
659	757	374
662	758	496
666	759	618
671	761	740
678	763	863
686	765	986
666	882	73
666	882	151
667	882	260
669	882	377
672	883	498
676	884	619
681	885	742
688	887	864
695	889	987
678	1007	91
678	1007	161
679	1008	265
681	1008	381
684	1009	500
688	1009	621
693	1010	743
699	1012	866
707	1013	988
759	69	0
756	67	119
757	72	243
759	80	367
761	90	490
765	103	614
769	117	737
775	134	861
781	151	984
758	152	0
