0	0	0
7	2	114
23	8	232
52	19	351
84	35	470
116	56	588
147	76	707
179	97	826
211	117	944
43	122	14
50	123	120
63	125	235
83	130	353
107	136	471
134	144	589
162	154	708
191	166	826
221	178	945
113	246	49
116	247	134
123	248	243
135	250	358
152	253	474
172	257	592
194	263	710
219	269	828
245	277	946
183	370	93
185	371	157
189	371	256
197	373	366
209	375	480
223	377	596
241	381	713
260	385	831
282	390	949
253	495	136
254	495	186
257	495	273
263	496	378
271	498	489
282	500	603
296	502	719
311	505	835
329	509	952
322	619	179
323	619	219
326	620	296
330	620	393
336	621	500
345	623	612
356	625	726
369	627	841
383	630	957
392	743	223
393	744	255
395	744	323
398	744	413
403	745	515
410	746	623
419	748	735
429	750	848
442	752	964
462	868	266
462	868	293
464	868	352
467	869	435
471	869	532
477	870	637
484	871	746
493	873	858
503	875	971
531	992	309
532	992	333
533	992	385
535	993	461
539	993	552
544	994	653
550	995	759
558	996	869
567	998	981
111	8	3
114	10	115
121	16	233
133	27	351
150	43	470
170	62	589
193	81	707
218	101	826
244	121	944
129	125	17
132	126	121
138	128	236
149	133	353
164	139	471
183	147	590
204	157	708
227	168	826
253	181	945
168	248	52
170	248	136
175	249	243
184	251	358
196	255	475
212	259	592
230	264	710
251	271	828
273	278	946
221	371	94
222	372	158
226	372	256
232	374	366
242	376	480
254	378	596
270	382	713
287	386	831
307	391	949
280	495	137
281	496	187
284	496	274
289	497	378
297	498	489
307	500	603
319	503	719
334	506	835
350	509	952
343	620	180
344	620	220
347	620	297
351	621	394
357	622	501
365	623	612
375	625	726
387	627	841
401	630	957
409	744	223
410	744	256
411	744	323
415	745	413
420	746	515
426	747	623
435	748	735
445	750	849
457	752	964
476	868	267
476	868	294
478	868	353
480	869	436
484	870	532
490	870	637
497	872	746
506	873	858
516	875	971
543	992	310
544	992	333
545	993	385
547	993	461
551	994	552
555	994	653
561	995	759
569	997	869
577	998	981
227	27	10
229	29	118
232	35	235
239	46	352
248	60	471
260	75	589
275	92	708
292	110	826
311	129	945
237	133	24
