0	0	0
7	2	120
26	7	243
58	15	366
91	28	488
124	45	611
158	64	734
191	82	857
224	101	980
14	126	1
22	126	120
41	128	243
68	132	366
99	137	489
130	143	611
162	151	734
195	160	857
227	171	980
50	252	5
56	253	122
70	254	244
91	255	366
116	258	489
144	261	612
173	265	734
204	271	857
235	277	980
94	379	10
97	380	124
107	380	245
122	381	367
142	383	489
166	385	612
192	388	735
220	391	858
249	395	980
137	506	19
140	507	128
147	507	247
158	508	368
174	509	490
194	510	613
216	512	735
241	515	858
267	517	981
181	633	31
183	634	132
188	634	249
197	634	369
210	635	491
226	636	613
245	638	736
267	640	858
291	642	981
225	760	46
226	760	138
230	761	252
238	761	371
248	762	493
262	763	614
278	764	737
297	765	859
318	767	982
268	887	62
270	887	145
273	888	256
279	888	374
288	888	494
299	889	616
313	890	738
330	891	860
349	893	982
312	1014	78
313	1014	154
316	1015	260
321	1015	377
328	1015	496
338	1016	617
351	1017	739
365	1018	861
382	1019	983
120	1	0
124	3	120
131	8	243
144	16	366
161	29	488
182	46	611
206	65	734
232	83	857
260	102	980
126	126	1
129	127	120
137	129	243
149	132	366
166	137	489
186	143	611
210	151	734
235	161	857
262	171	980
141	253	4
143	253	122
150	254	244
161	256	366
177	258	489
196	261	612
218	266	734
243	271	857
269	277	980
163	380	10
165	380	124
171	380	245
181	381	367
195	383	489
212	385	612
233	388	735
256	391	858
281	395	980
191	507	19
193	507	128
198	507	246
207	508	368
219	509	490
234	510	613
253	512	735
274	515	858
297	517	981
224	633	31
226	634	132
230	634	249
237	634	369
248	635	491
261	636	613
278	638	736
297	640	858
318	642	981
260	760	46
261	761	138
265	761	252
271	761	371
280	762	493
292	763	614
307	764	737
324	765	859
343	767	982
298	887	62
299	887	145
302	888	256
307	888	374
315	889	494
326	889	616
338	890	738
354	891	860
371	893	982
337	1014	78
338	1014	154
341	1015	260
345	1015	377
352	1015	496
361	1016	617
373	1017	739
386	1018	861
402	1019	983
244	5	0
245	6	120
249	11	243
256	20	366
266	32	488
278	49	611
294	67	734
311	85	857
332	103	980
247	127	1
248	128	120
252	130	243
259	133	366
268	138	489
281	145	611
296	153	734
314	162	857
334	172	980
254	253	4
255	254	122
259	255	244
265	256	366
275	259	489
287	262	612
302	266	734
319	271	857
339	277	980
266	380	10
268	380	124
271	381	245
277	382	367
286	383	489
298	385	612
312	388	735
329	391	858
348	395	980
284	507	19
285	507	128
288	507	246
294	508	368
302	509	490
313	511	613
327	513	735
342	515	858
361	518	981
306	634	31
307	634	132
310	634	249
315	635	369
323	635	491
333	637	613
345	638	736
360	640	858
377	642	981
332	761	46
333	761	138
336	761	252
340	761	371
347	762	493
357	763	614
368	764	737
382	765	859
398	767	982
361	888	62
362	888	145
364	888	256
369	888	374
375	889	494
384	889	616
394	890	738
407	891	860
422	893	982
393	1014	78
394	1015	154
396	1015	260
400	1015	377
406	1015	496
413	1016	617
423	1017	739
435	1018	861
449	1019	983
367	10	0
368	12	120
371	17	243
375	25	365
381	38	488
389	54	611
400	71	734
412	88	857
427	106	980
369	130	1
370	130	120
372	132	243
377	136	366
383	140	489
391	147	611
401	154	734
414	164	857
428	174	980
374	255	4
375	255	121
377	256	243
381	257	366
387	260	489
395	263	612
406	267	734
418	272	857
432	279	980
382	381	10
382	381	124
385	382	245
389	383	367
395	384	489
403	386	612
413	389	735
425	392	858
439	396	980
393	507	19
394	507	128
396	508	246
400	509	368
406	510	490
414	511	613
423	513	735
435	515	858
449	518	981
408	634	31
409	634	132
411	634	249
415	635	369
420	636	491
428	637	613
437	638	736
449	640	858
462	642	981
427	761	46
428	761	138
430	761	252
433	762	371
439	762	493
446	763	614
455	764	737
465	766	859
478	767	982
449	888	62
450	888	145
452	888	256
455	888	374
460	889	494
467	890	616
475	891	738
485	892	860
497	893	982
474	1015	78
475	1015	153
476	1015	260
479	1015	377
484	1016	496
490	1016	617
498	1017	739
508	1018	861
519	1019	983
492	20	0
491	21	119
493	26	242
496	34	365
500	47	488
506	61	611
514	77	734
523	93	857
534	110	980
492	133	1
493	134	120
494	136	243
497	139	366
502	144	488
508	150	611
515	157	734
524	166	857
