0	0	0
7	2	113
24	6	231
54	14	349
85	25	468
117	41	586
149	59	704
181	77	822
213	95	940
45	123	14
51	124	119
64	126	234
85	129	351
109	133	469
136	139	587
164	147	705
194	156	823
224	166	941
115	248	48
118	249	133
125	250	241
138	251	356
154	253	472
174	257	589
197	260	707
222	265	824
248	271	942
186	374	91
187	374	155
192	374	254
200	375	364
212	377	478
226	379	593
244	381	710
264	384	827
286	388	945
256	499	133
257	499	184
261	500	271
266	500	375
275	501	486
286	503	600
300	504	715
316	507	831
334	509	948
327	624	176
328	624	216
330	625	293
334	625	391
341	626	497
350	627	609
360	628	722
373	630	837
388	632	953
397	750	219
398	750	252
400	750	319
403	750	410
408	751	512
415	752	620
424	753	731
435	754	844
447	756	959
467	875	262
468	875	289
470	875	349
473	876	432
477	876	528
483	877	633
490	878	742
499	879	853
509	880	967
538	1000	305
538	1000	328
540	1000	380
542	1001	457
546	1001	548
551	1002	649
557	1002	755
565	1003	864
574	1004	976
107	7	3
110	9	114
118	13	232
131	21	350
148	32	468
169	48	586
192	65	704
218	82	822
245	99	940
127	126	16
129	127	120
136	129	235
147	132	352
163	136	469
182	142	587
204	149	705
228	158	823
253	168	941
167	250	50
169	250	134
174	251	242
183	253	356
196	255	472
212	258	589
230	262	707
252	267	824
275	272	942
221	375	92
223	375	156
226	375	254
233	376	364
243	378	478
256	380	594
271	382	710
289	385	827
309	389	945
282	500	135
283	500	185
286	500	272
291	501	376
299	502	486
309	503	600
321	505	715
336	507	831
353	510	948
346	625	177
347	625	217
350	625	294
354	626	391
360	626	498
368	627	609
378	629	722
390	630	837
405	632	953
413	750	220
414	750	253
415	750	320
419	751	410
424	751	512
430	752	620
439	753	731
449	754	845
461	756	959
481	875	262
481	875	290
483	876	349
485	876	432
490	876	529
495	877	633
502	878	742
511	879	853
521	880	967
549	1001	305
549	1001	328
551	1001	381
553	1001	457
557	1001	548
561	1002	649
567	1003	755
575	1004	864
584	1005	976
221	26	10
222	27	118
226	32	233
233	39	351
243	50	469
255	63	586
271	77	705
289	92	823
309	108	941
231	133	24
232	134	123
236	136	236
242	139	353
252	143	470
264	149	587
279	156	705
296	164	823
316	173	941
254	253	57
256	254	137
259	255	244
265	256	357
273	258	473
284	261	590
298	265	707
314	270	825
332	276	943
291	377	96
292	377	159
295	378	256
300	379	365
308	380	479
317	382	594
329	384	711
344	387	828
360	391	945
338	501	137
339	501	187
341	502	273
346	502	377
352	503	487
360	505	601
371	507	716
383	509	832
398	511	948
392	626	179
393	626	219
395	626	295
398	627	392
404	628	498
411	629	609
420	630	723
430	632	838
443	634	953
451	751	221
451	751	254
453	751	321
456	752	411
460	752	512
466	753	620
474	754	732
483	755	845
494	757	959
512	876	264
513	876	291
514	876	350
517	877	433
521	877	529
526	878	634
532	879	742
540	880	854
550	881	967
576	1001	306
576	1001	330
578	1001	382
580	1002	458
583	1002	549
588	1003	649
593	1003	755
600	1004	864
609	1005	976
335	57	24
336	58	123
338	61	236
343	67	353
349	75	470
357	85	587
368	96	705
380	109	823
395	123	941
341	146	37
342	146	129
344	148	239
349	150	354
355	154	471
363	160	588
373	166	706
386	174	824
400	183	942
357	260	67
357	260	142
360	261	246
364	262	359
369	265	474
377	268	591
387	271	708
399	276	825
413	281	943
382	381	103
383	381	163
385	382	258
389	383	367
394	384	480
401	386	595
411	388	711
422	391	828
435	395	945
417	504	142
418	504	190
420	505	276
423	505	378
428	506	488
435	508	602
443	509	716
453	511	832
465	514	949
460	628	183
461	628	222
463	629	297
466	629	394
470	630	499
476	631	610
483	632	723
492	634	838
503	636	954
509	753	224
510	753	257
511	753	323
514	753	412
518	754	514
523	755	621
530	756	732
538	757	845
547	759	960
563	877	266
564	877	293
565	878	352
567	878	434
571	878	530
575	879	634
581	880	743
588	881	854
597	882	968
621	1002	308
621	1002	331
622	1003	383
624	1003	459
627	1003	550
631	1004	650
636	1004	756
643	1005	865
651	1006	977
449	89	44
450	90	131
451	93	240
454	97	355
459	103	472
465	110	589
472	120	706
482	130	824
493	142	942
453	162	56
454	163	137
456	164	243
459	167	357
463	170	473
469	175	590
477	181	707
486	188	825
497	196	943
464	269	80
465	269	149
467	270	250
469	272	361
474	274	476
480	276	592
487	280	709
496	285	826
507	290	944
483	387	113
484	387	169
485	388	262
488	388	369
492	390	482
498	392	596
505	394	712
513	397	829
524	401	946
510	508	150
511	508	196
512	509	279
515	509	381
518	510	490
524	512	603
530	513	718
538	516	833
548	518	950
544	631	189
545	631	226
546	632	301
548	632	396
552	633	501
557	634	611
563	635	724
570	637	839
579	639	955
585	755	229
585	755	260
586	755	326
589	756	414
592	756	515
596	757	622
602	758	733
609	760	846
617	761	961
631	879	270
631	880	297
632	880	354
634	880	436
637	881	532
641	881	636
646	882	744
653	883	855
660	884	968
681	1004	312
681	1004	334
682	1004	386
684	1005	461
687	1005	551
690	1005	651
695	1006	757
701	1007	866
708	1008	977
563	122	66
563	123	142
565	125	246
567	128	359
570	133	474
575	139	591
581	146	708
588	155	825
597	165	943
566	183	76
567	183	147
568	184	249
570	186	361
574	190	475
578	194	592
584	199	709
591	206	826
600	213	944
575	281	96
575	281	159
576	282	256
578	284	365
582	285	479
586	288	594
592	292	711
599	296	828
608	301	945
589	395	125
590	395	178
591	395	267
593	396	373
596	398	484
600	399	598
606	402	714
613	405	830
621	408	947
610	514	159
611	514	203
612	514	284
614	515	384
617	516	492
621	517	605
626	519	719
633	521	835
641	524	951
638	636	196
638	636	232
639	636	305
641	637	399
644	637	504
648	638	613
653	640	726
659	641	840
667	643	956
671	759	235
672	759	266
673	759	330
675	759	417
677	760	518
681	761	624
686	762	735
692	763	848
699	765	962
710	882	275
711	882	301
712	883	358
713	883	439
716	883	534
719	884	637
724	885	745
729	886	856
736	887	969
754	1006	316
754	1006	338
755	1007	389
757	1007	463
759	1007	553
762	1008	653
766	1009	758
771	1009	867
777	1011	978
677	155	89
677	156	154
678	157	253
680	160	363
683	163	477
686	168	593
691	175	710
697	182	827
704	190	944
679	206	96
680	206	159
681	207	256
683	209	365
685	212	479
689	216	594
694	220	711
699	226	828
706	233	945
686	296	113
686	296	170
687	297	262
689	298	369
692	300	482
695	303	597
700	306	713
706	310	829
713	315	946
698	405	139
698	405	188
699	405	274
701	406	377
703	408	487
707	409	601
712	412	716
717	414	832
724	418	949
715	521	170
715	521	212
716	522	290
718	522	388
720	523	496
724	525	607
728	526	721
734	528	836
740	531	952
738	641	205
738	641	240
739	642	311
740	642	403
743	643	507
746	644	616
750	645	728
756	647	842
762	649	957
766	763	242
766	763	272
767	763	335
768	764	421
771	764	520
774	765	627
778	766	737
783	767	849
789	769	963
799	886	281
799	886	307
800	886	363
801	886	443
803	887	537
806	888	640
810	888	747
815	890	858
821	891	971
836	1009	321
837	1010	343
837	1010	393
839	1010	467
841	1010	556
844	1011	655
847	1012	760
852	1012	869
857	1014	980
791	188	111
791	188	169
792	190	262
793	192	369
796	195	481
799	199	596
803	204	712
807	210	829
813	218	946
793	231	118
793	231	173
794	232	264
796	234	371
798	237	483
801	240	597
805	244	713
809	249	830
815	255	947
798	313	132
799	313	183
800	314	271
801	315	375
803	317	486
806	319	600
810	323	715
815	326	831
820	331	948
808	417	154
808	417	199
809	417	282
811	418	383
813	420	491
816	421	604
819	423	718
824	426	834
830	429	950
822	530	183
823	530	222
823	531	297
825	531	394
827	532	499
830	533	610
833	535	723
838	537	838
843	539	954
841	648	216
841	648	249
842	648	317
844	649	408
846	650	510
848	651	619
852	652	730
856	653	844
862	655	959
865	768	251
865	769	280
866	769	341
867	769	426
869	770	524
872	771	629
875	772	739
880	773	851
885	774	965
893	890	289
894	890	314
894	891	368
896	891	447
897	891	540
900	892	642
903	893	750
907	894	860
912	895	972
926	1013	328
926	1013	349
927	1013	398
928	1014	471
930	1014	560
932	1015	658
936	1015	762
940	1016	870
944	1017	981
905	221	134
905	221	184
906	222	272
907	224	376
909	227	486
911	230	600
915	235	715
919	240	831
924	246	948
907	258	139
907	258	188
908	259	274
909	261	377
911	263	488
913	266	601
916	270	716
920	274	832
925	280	949
911	333	152
911	333	197
912	334	280
913	335	382
915	336	491
918	338	603
921	341	718
925	345	834
930	349	950
919	431	171
920	431	213
920	431	291
921	432	389
923	433	496
926	435	607
929	437	721
933	440	836
938	443	952
931	541	197
932	541	234
932	541	306
933	542	400
935	542	504
938	544	614
941	545	726
945	547	840
949	550	956
947	656	228
948	656	260
948	656	325
950	657	414
951	658	515
954	659	622
957	660	733
961	661	846
965	663	961
968	775	262
968	775	289
969	775	348
970	776	432
972	776	528
974	777	633
977	778	742
981	779	853
985	781	967
992	896	298
993	896	322
993	896	375
994	896	452
996	897	545
998	897	646
1001	898	752
1005	899	862
1009	901	974
1021	1018	335
1021	1018	356
1022	1018	404
1023	1018	476
1023	1017	563
1023	1016	659
1023	1013	760
1023	1011	864
1023	1008	970
